"GeneID" "Chr" "Start" "End" "Strand" "Length"
"100" "lmo0194" "AL591824.1" 197512 198204 "+" 693
"101" "lmo0195" "AL591824.1" 198185 198190 "+" 6
"102" "lmo0195" "AL591824.1" 199420 199453 "+" 34
"103" "sul" "AL591824.1" 232662 233477 "+" 816
"104" "folA" "AL591824.1" 233491 233865 "+" 375
"105" "folK" "AL591824.1" 233844 233849 "+" 6
"106" "lmo0229" "AL591824.1" 248555 249013 "+" 459
"107" "lmo0230" "AL591824.1" 249026 249544 "+" 519
"108" "lmo0231" "AL591824.1" 249526 249531 "+" 6
"109" "lmo0235" "AL591824.1" 255800 256498 "+" 699
"110" "lmo0236" "AL591824.1" 256477 256482 "+" 6
"111" "cysE" "AL591824.1" 258856 259470 "+" 615
"112" "cysS" "AL591824.1" 259463 259468 "+" 6
"113" "lmo0240" "AL591824.1" 260883 260889 "+" 7
"114" "lmo0241" "AL591824.1" 261288 261293 "+" 6
"115" "lmo0242" "AL591824.1" 262051 262056 "+" 6
"116" "nusG" "AL591824.1" 264384 264421 "+" 38
"117" "lmo0247" "AL591824.1" 264432 264902 "+" 471
"118" "lmo0252" "AL591824.1" 267530 267916 "+" 387
"119" "lmo0253" "AL591824.1" 267893 267898 "+" 6
"120" "lmo0253" "AL591824.1" 268961 268994 "+" 34
"121" "lmo0266" "AL591824.1" 289139 289555 "+" 417
"122" "lmo0267" "AL591824.1" 289546 289551 "+" 6
"123" "lmo0279" "AL591824.1" 302008 304140 "+" 2133
"124" "lmo0280" "AL591824.1" 304121 304126 "+" 6
"125" "lmo0280" "AL591824.1" 304690 304719 "+" 30
"126" "lmo0284" "AL591824.1" 307303 308319 "-" 1017
"127" "lmo0283" "AL591824.1" 307317 307322 "-" 6
"128" "lmo0285" "AL591824.1" 308334 309155 "-" 822
"129" "lmo0288" "AL591824.1" 311830 313662 "+" 1833
"130" "lmo0289" "AL591824.1" 313646 313651 "+" 6
"131" "lmo0290" "AL591824.1" 314968 314973 "+" 6
"132" "lmo0299" "AL591824.1" 325422 325712 "-" 291
"133" "lmo0298" "AL591824.1" 325426 325431 "-" 6
"134" "lmo0301" "AL591824.1" 327113 327454 "-" 342
"135" "lmo0300" "AL591824.1" 327128 327133 "-" 6
"136" "lmo0304" "AL591824.1" 328701 329966 "+" 1266
"137" "lmo0305" "AL591824.1" 329909 329914 "+" 6
"138" "lmo0305" "AL591824.1" 331021 331059 "+" 39
"139" "lmo0311" "AL591824.1" 336541 337161 "+" 621
"140" "lmo0312" "AL591824.1" 337150 337154 "+" 5
"141" "lmo0315" "AL591824.1" 340278 340952 "+" 675
"142" "lmo0316" "AL591824.1" 340932 340937 "+" 6
"143" "lmo0317" "AL591824.1" 341736 341743 "+" 8
"144" "lmo0318" "AL591824.1" 342538 342543 "+" 6
"145" "lmo0335" "AL591824.1" 367248 367532 "+" 285
"146" "lmo0336" "AL591824.1" 367519 367524 "+" 6
"147" "lmo0337" "AL591824.1" 367885 367890 "+" 6
"148" "lmo0338" "AL591824.1" 369362 369368 "+" 7
"149" "lmo0339" "AL591824.1" 370032 370403 "+" 372
"150" "lmo0340" "AL591824.1" 370416 370634 "+" 219
"151" "lmo0340" "AL591824.1" 370682 370726 "+" 45
"152" "lmo0343" "AL591824.1" 373129 373785 "-" 657
"153" "lmo0342" "AL591824.1" 373136 373141 "-" 6
"154" "lmo0345" "AL591824.1" 375075 375080 "-" 6
"155" "lmo0347" "AL591824.1" 375842 376492 "-" 651
"156" "lmo0346" "AL591824.1" 375847 375852 "-" 6
"157" "lmo0357" "AL591824.1" 384926 385372 "+" 447
"158" "lmo0358" "AL591824.1" 385386 386780 "+" 1395
"159" "lmo0359" "AL591824.1" 386767 386772 "+" 6
"160" "lmo0362" "AL591824.1" 389538 389717 "-" 180
"161" "lmo0361" "AL591824.1" 389552 389557 "-" 6
"162" "lmo0372" "AL591824.1" 398210 399652 "+" 1443
"163" "lmo0373" "AL591824.1" 399630 399635 "+" 6
"164" "lmo0383" "AL591824.1" 406637 408103 "+" 1467
"165" "lmo0384" "AL591824.1" 408116 408937 "+" 822
"166" "lmo0385" "AL591824.1" 408954 409931 "+" 978
"167" "lmo0386" "AL591824.1" 409944 411860 "+" 1917
"168" "lmo0386" "AL591824.1" 411873 411903 "+" 31
"169" "lmo0391" "AL591824.1" 414928 415227 "+" 300
"170" "lmo0392" "AL591824.1" 415211 415216 "+" 6
"171" "lmo0398" "AL591824.1" 419544 420002 "+" 459
"172" "lmo0399" "AL591824.1" 419987 419992 "+" 6
"173" "lmo0400" "AL591824.1" 420318 420323 "+" 6
"174" "lmo0403" "AL591824.1" 426190 426606 "+" 417
"175" "lmo0404" "AL591824.1" 426584 426589 "+" 6
"176" "lmo0404" "AL591824.1" 427008 427048 "+" 41
"177" "lmo0410" "AL591824.1" 432104 432134 "-" 31
"178" "lmo0411" "AL591824.1" 433153 434745 "-" 1593
"179" "lmo0416" "AL591824.1" 439009 439212 "+" 204
"180" "lmo0417" "AL591824.1" 439199 439204 "+" 6
"181" "lmo0421" "AL591824.1" 441557 441583 "-" 27
"182" "lmo0421" "AL591824.1" 442880 442885 "-" 6
"183" "lmo0423" "AL591824.1" 443303 443851 "-" 549
"184" "lmo0422" "AL591824.1" 443308 443313 "-" 6
"185" "lmo0425" "AL591824.1" 445049 447010 "+" 1962
"186" "lmo0426" "AL591824.1" 446997 447002 "+" 6
"187" "lmo0427" "AL591824.1" 447453 447458 "+" 6
"188" "lmo0428" "AL591824.1" 447804 448910 "+" 1107
"189" "lmo0431" "AL591824.1" 452524 453093 "+" 570
"190" "lmo0432" "AL591824.1" 453107 453853 "+" 747
"191" "lmo0432" "AL591824.1" 453864 453903 "+" 40
"192" "lmo0452" "AL591824.1" 487663 487668 "-" 6
"193" "lmo0454" "AL591824.1" 488802 489749 "-" 948
"194" "lmo0453" "AL591824.1" 488805 488810 "-" 6
"195" "lmo0456" "AL591824.1" 491634 492917 "+" 1284
"196" "lmo0457" "AL591824.1" 492904 492909 "+" 6
"197" "lmo0458" "AL591824.1" 493996 494001 "+" 6
"198" "lmo0458" "AL591824.1" 495592 495644 "+" 53
"199" "lmo0468" "AL591824.1" 504957 504962 "+" 6
"200" "lmo0474" "AL591824.1" 511200 511205 "+" 6
"201" "lmo0498" "AL591824.1" 534307 534756 "+" 450
"202" "lmo0499" "AL591824.1" 534740 534745 "+" 6
"203" "lmo0500" "AL591824.1" 535428 536078 "+" 651
"204" "lmo0501" "AL591824.1" 536187 538247 "+" 2061
"205" "lmo0502" "AL591824.1" 538237 538242 "+" 6
"206" "lmo0504" "AL591824.1" 539365 539763 "+" 399
"207" "lmo0505" "AL591824.1" 539774 540424 "+" 651
"208" "lmo0506" "AL591824.1" 540406 540411 "+" 6
"209" "lmo0513" "AL591824.1" 546680 547138 "-" 459
"210" "lmo0512" "AL591824.1" 546682 546687 "-" 6
"211" "lmo0527" "AL591824.1" 562789 564264 "+" 1476
"212" "lmo0528" "AL591824.1" 564242 564247 "+" 6
"213" "lmo0529" "AL591824.1" 565764 567014 "+" 1251
"214" "lmo0530" "AL591824.1" 567030 569081 "+" 2052
"215" "lmo0531" "AL591824.1" 569094 569948 "+" 855
"216" "lmo0531" "AL591824.1" 569953 569998 "+" 46
"217" "lmo0532" "AL591824.1" 570008 570838 "+" 831
"218" "lmo0537" "AL591824.1" 575166 576437 "+" 1272
"219" "lmo0538" "AL591824.1" 576388 576393 "+" 6
"220" "lmo0538" "AL591824.1" 577593 577632 "+" 40
"221" "lmo0556" "AL591824.1" 595135 595842 "+" 708
"222" "lmo0557" "AL591824.1" 595830 595835 "+" 6
"223" "lmo0561" "AL591824.1" 601157 601162 "-" 6
"224" "lmo0562" "AL591824.1" 601479 601484 "-" 6
"225" "hisF" "AL591824.1" 602228 602233 "-" 6
"226" "hisA" "AL591824.1" 602941 602946 "-" 6
"227" "hisH" "AL591824.1" 603544 603549 "-" 6
"228" "hisB" "AL591824.1" 604129 604134 "-" 6
"229" "hisD" "AL591824.1" 605415 605420 "-" 6
"230" "hisZ" "AL591824.1" 606039 607220 "-" 1182
"231" "hisG" "AL591824.1" 606050 606055 "-" 6
"232" "lmo0589" "AL591824.1" 630629 631042 "+" 414
"233" "lmo0590" "AL591824.1" 631030 631035 "+" 6
"234" "lmo0591" "AL591824.1" 632795 632800 "+" 6
"235" "lmo0598" "AL591824.1" 640116 640121 "-" 6
"236" "lmo0599" "AL591824.1" 640300 640632 "+" 333
"237" "lmo0600" "AL591824.1" 640610 640615 "+" 6
"238" "lmo0601" "AL591824.1" 641193 641198 "+" 6
"239" "lmo0607" "AL591824.1" 645878 647590 "+" 1713
"240" "lmo0608" "AL591824.1" 647574 647579 "+" 6
"241" "lmo0608" "AL591824.1" 649414 649451 "+" 38
"242" "lmo0613" "AL591824.1" 653028 653033 "+" 6
"243" "lmo0613" "AL591824.1" 653995 654025 "+" 31
"244" "lmo0630" "AL591824.1" 670309 672339 "+" 2031
"245" "lmo0631" "AL591824.1" 672326 672331 "+" 6
"246" "lmo0632" "AL591824.1" 672780 672785 "+" 6
"247" "lmo0645" "AL591824.1" 688569 688621 "+" 53
"248" "lmo0646" "AL591824.1" 688604 688609 "+" 6
"249" "lmo0653" "AL591824.1" 695496 696416 "-" 921
"250" "lmo0664" "AL591824.1" 703128 703691 "+" 564
"251" "lmo0665" "AL591824.1" 703675 703680 "+" 6
"252" "lmo0666" "AL591824.1" 703961 704338 "+" 378
"253" "lmo0666" "AL591824.1" 704346 704396 "+" 51
"254" "lmo0667" "AL591824.1" 704452 705387 "+" 936
"255" "lmo0668" "AL591824.1" 705365 705371 "+" 7
"256" "lmo0668" "AL591824.1" 706169 706199 "+" 31
"257" "lmo0676" "AL591824.1" 711413 711418 "+" 6
"258" "lmo0677" "AL591824.1" 712208 712480 "+" 273
"259" "lmo0678" "AL591824.1" 712472 712477 "+" 6
"260" "lmo0679" "AL591824.1" 713260 714306 "+" 1047
"261" "lmo0681" "AL591824.1" 716450 717673 "+" 1224
"262" "lmo0682" "AL591824.1" 717656 717661 "+" 6
"263" "lmo0685" "AL591824.1" 719653 720504 "+" 852
"264" "motB" "AL591824.1" 720449 720454 "+" 6
"265" "lmo0687" "AL591824.1" 721301 721801 "+" 501
"266" "lmo0688" "AL591824.1" 721824 723737 "+" 1914
"267" "lmo0689" "AL591824.1" 723750 724658 "+" 909
"268" "lmo0689" "AL591824.1" 724662 724707 "+" 46
"269" "cheA" "AL591824.1" 726413 728269 "+" 1857
"270" "lmo0693" "AL591824.1" 728282 728581 "+" 300
"271" "lmo0695" "AL591824.1" 729026 730072 "+" 1047
"272" "lmo0696" "AL591824.1" 730059 730064 "+" 6
"273" "lmo0697" "AL591824.1" 730516 731751 "+" 1236
"274" "lmo0698" "AL591824.1" 731765 732001 "+" 237
"275" "lmo0699" "AL591824.1" 732022 733014 "+" 993
"276" "lmo0700" "AL591824.1" 733004 733009 "+" 6
"277" "lmo0701" "AL591824.1" 734556 734561 "+" 6
"278" "lmo0703" "AL591824.1" 737269 737733 "+" 465
"279" "lmo0704" "AL591824.1" 737743 738171 "+" 429
"280" "lmo0705" "AL591824.1" 738191 739711 "+" 1521
"281" "lmo0706" "AL591824.1" 739723 740598 "+" 876
"282" "lmo0707" "AL591824.1" 740610 741899 "+" 1290
"283" "lmo0708" "AL591824.1" 741918 742304 "+" 387
"284" "lmo0709" "AL591824.1" 742262 742267 "+" 6
"285" "lmo0710" "AL591824.1" 742578 742979 "+" 402
"286" "lmo0711" "AL591824.1" 742991 743401 "+" 411
"287" "lmo0713" "AL591824.1" 743782 745434 "+" 1653
"288" "lmo0714" "AL591824.1" 745424 745429 "+" 6
"289" "lmo0715" "AL591824.1" 746518 746522 "+" 5
"290" "lmo0716" "AL591824.1" 747204 747209 "+" 6
"291" "lmo0717" "AL591824.1" 748537 749205 "+" 669
"292" "lmo0718" "AL591824.1" 749219 749863 "+" 645
"293" "lmo0718" "AL591824.1" 749870 749908 "+" 39
"294" "lmo0719" "AL591824.1" 749985 750311 "+" 327
"295" "lmo0720" "AL591824.1" 750296 750301 "+" 6
"296" "lmo0720" "AL591824.1" 750640 750685 "+" 46
"297" "lmo0723" "AL591824.1" 753490 755295 "+" 1806
"298" "lmo0724" "AL591824.1" 755308 756036 "+" 729
"299" "lmo0724" "AL591824.1" 756042 756085 "+" 44
"300" "lmo0729" "AL591824.1" 759479 759958 "+" 480
"301" "lmo0730" "AL591824.1" 759972 760341 "+" 370
"302" "lmo0735" "AL591824.1" 765683 766354 "+" 672
"303" "lmo0736" "AL591824.1" 766338 766343 "+" 6
"304" "lmo0737" "AL591824.1" 766810 767742 "+" 933
"305" "lmo0741" "AL591824.1" 771949 772326 "+" 378
"306" "lmo0742" "AL591824.1" 772295 772300 "+" 6
"307" "lmo0743" "AL591824.1" 772980 772985 "+" 6
"308" "lmo0748" "AL591824.1" 777209 777496 "+" 288
"309" "lmo0749" "AL591824.1" 777481 777487 "+" 7
"310" "lmo0750" "AL591824.1" 777677 777682 "+" 6
"311" "lmo0755" "AL591824.1" 781103 781924 "+" 822
"312" "lmo0756" "AL591824.1" 781882 781887 "+" 6
"313" "lmo0757" "AL591824.1" 782780 782785 "+" 6
"314" "lmo0757" "AL591824.1" 783776 783804 "+" 29
"315" "lmo0758" "AL591824.1" 783901 784788 "+" 888
"316" "lmo0759" "AL591824.1" 784773 784778 "+" 6
"317" "lmo0760" "AL591824.1" 785739 785744 "+" 6
"318" "lmo0761" "AL591824.1" 786372 786992 "+" 621
"319" "lmo0760" "AL591824.1" 786478 786504 "+" 27
"320" "lmo0763" "AL591824.1" 788642 789514 "+" 873
"321" "lmo0764" "AL591824.1" 789504 789509 "+" 6
"322" "lmo0766" "AL591824.1" 791977 792867 "+" 891
"323" "lmo0767" "AL591824.1" 792879 793754 "+" 876
"324" "lmo0768" "AL591824.1" 793777 795030 "+" 1254
"325" "lmo0769" "AL591824.1" 795018 795023 "+" 6
"326" "lmo0784" "AL591824.1" 807255 807689 "-" 435
"327" "lmo0783" "AL591824.1" 807263 807268 "-" 6
"328" "lmo0807" "AL591824.1" 834845 835939 "+" 1095
"329" "lmo0808" "AL591824.1" 835926 835931 "+" 6
"330" "lmo0809" "AL591824.1" 836730 836735 "+" 6
"331" "lmo0810" "AL591824.1" 837533 837537 "+" 5
"332" "lmo0827" "AL591824.1" 854443 854748 "+" 306
"333" "lmo0828" "AL591824.1" 854736 854740 "+" 5
"334" "lmo0834" "AL591824.1" 864824 865537 "+" 714
"335" "lmo0835" "AL591824.1" 866545 866571 "+" 27
"336" "lmo0847" "AL591824.1" 885440 886882 "+" 1443
"337" "lmo0848" "AL591824.1" 886862 886867 "+" 6
"338" "lmo0848" "AL591824.1" 887612 887657 "+" 46
"339" "lmo0853" "AL591824.1" 891848 892189 "+" 342
"340" "lmo0854" "AL591824.1" 892176 892181 "+" 6
"341" "ddlA" "AL591824.1" 893788 893822 "+" 35
"342" "murF" "AL591824.1" 893838 895211 "+" 1374
"343" "lmo0859" "AL591824.1" 897273 898592 "+" 1320
"344" "lmo0860" "AL591824.1" 898570 898575 "+" 6
"345" "lmo0861" "AL591824.1" 899440 899445 "+" 6
"346" "lmo0862" "AL591824.1" 900303 901835 "+" 1533
"347" "lmo0863" "AL591824.1" 901825 901830 "+" 6
"348" "lmo0864" "AL591824.1" 902773 903840 "+" 1068
"349" "lmo0865" "AL591824.1" 903822 903828 "+" 7
"350" "lmo0865" "AL591824.1" 905517 905557 "+" 41
"351" "lmo0874" "AL591824.1" 914405 914734 "+" 330
"352" "lmo0875" "AL591824.1" 914721 914726 "+" 6
"353" "lmo0877" "AL591824.1" 916436 917164 "+" 729
"354" "lmo0878" "AL591824.1" 917150 917155 "+" 6
"355" "lmo0882" "AL591824.1" 921062 921544 "+" 483
"356" "lmo0883" "AL591824.1" 921522 921527 "+" 6
"357" "lmo0884" "AL591824.1" 923161 924540 "+" 1380
"358" "lmo0885" "AL591824.1" 924530 924535 "+" 6
"359" "lmo0887" "AL591824.1" 926229 926507 "+" 279
"360" "lmo0888" "AL591824.1" 926498 926503 "+" 6
"361" "RsbR" "AL591824.1" 927110 927946 "+" 837
"362" "rsbS" "AL591824.1" 927937 927942 "+" 6
"363" "rsbT" "AL591824.1" 928299 928303 "+" 5
"364" "rsbU" "AL591824.1" 928738 929742 "+" 1005
"365" "rsbV" "AL591824.1" 929892 930236 "+" 345
"366" "rsbW" "AL591824.1" 930206 930211 "+" 6
"367" "sigB" "AL591824.1" 930656 930661 "+" 6
"368" "rsbX" "AL591824.1" 931437 931442 "+" 6
"369" "lmo0898" "AL591824.1" 933959 936136 "+" 2178
"370" "lmo0899" "AL591824.1" 936121 936126 "+" 6
"371" "lmo0898" "AL591824.1" 936152 936194 "+" 43
"372" "lmo0909" "AL591824.1" 945520 945912 "+" 393
"373" "lmo0910" "AL591824.1" 945905 945910 "+" 6
"374" "lmo0914" "AL591824.1" 950363 950668 "+" 306
"375" "lmo0915" "AL591824.1" 950658 950663 "+" 6
"376" "lmo0916" "AL591824.1" 951956 952306 "+" 351
"377" "lmo0917" "AL591824.1" 952318 953769 "+" 1452
"378" "lmo0923" "AL591824.1" 960748 961221 "+" 474
"379" "lmo0925" "AL591824.1" 961454 961459 "+" 6
"380" "lmo0935" "AL591824.1" 972197 972706 "+" 510
"381" "lmo0936" "AL591824.1" 972719 973459 "+" 741
"382" "lmo0936" "AL591824.1" 973465 973497 "+" 33
"383" "lmo0938" "AL591824.1" 973758 974216 "-" 459
"384" "lmo0939" "AL591824.1" 974229 974975 "-" 747
"385" "lmo0941" "AL591824.1" 976065 977039 "-" 975
"386" "lmo0942" "AL591824.1" 977051 978856 "-" 1806
"387" "lmo0945" "AL591824.1" 980177 981307 "+" 1131
"388" "lmo0946" "AL591824.1" 981317 981544 "+" 228
"389" "lmo0948" "AL591824.1" 982957 983646 "-" 690
"390" "lmo0947" "AL591824.1" 982967 982972 "-" 6
"391" "lmo0960" "AL591824.1" 992978 993886 "+" 909
"392" "lmo0961" "AL591824.1" 993900 995126 "+" 1227
"393" "dltC" "AL591824.1" 1003593 1003829 "-" 237
"394" "dltD" "AL591824.1" 1003604 1003609 "-" 6
"395" "dltA" "AL591824.1" 1005036 1006568 "-" 1533
"396" "dltB" "AL591824.1" 1005047 1005052 "-" 6
"397" "lmo0979" "AL591824.1" 1010313 1011077 "+" 765
"398" "lmo0980" "AL591824.1" 1011061 1011066 "+" 6
"399" "lmo0980" "AL591824.1" 1011836 1011868 "+" 33
"400" "lmo0982" "AL591824.1" 1013475 1014527 "+" 1053
"401" "lmo0983" "AL591824.1" 1014540 1015019 "+" 480
"402" "lmo0983" "AL591824.1" 1015026 1015065 "+" 40
"403" "lmo0984" "AL591824.1" 1015153 1015608 "+" 456
"404" "lmo0985" "AL591824.1" 1015590 1015595 "+" 6
"405" "lmo0986" "AL591824.1" 1016019 1016024 "+" 6
"406" "lmo0987" "AL591824.1" 1016922 1016927 "+" 6
"407" "ptsH" "AL591824.1" 1032924 1033190 "+" 267
"408" "lmo1003" "AL591824.1" 1033175 1033180 "+" 6
"409" "lmo1003" "AL591824.1" 1034921 1034947 "+" 27
"410" "lmo1004" "AL591824.1" 1035021 1036055 "+" 1035
"411" "lmo1005" "AL591824.1" 1036068 1036928 "+" 861
"412" "lmo1005" "AL591824.1" 1036939 1036974 "+" 36
"413" "lmo1009" "AL591824.1" 1039297 1039749 "+" 453
"414" "lmo1010" "AL591824.1" 1039733 1039738 "+" 6
"415" "gbuA" "AL591824.1" 1043821 1045014 "+" 1194
"416" "gbuB" "AL591824.1" 1044992 1044997 "+" 6
"417" "gbuC" "AL591824.1" 1045869 1046771 "+" 903
"418" "gbuC" "AL591824.1" 1046783 1046836 "+" 54
"419" "lmo1020" "AL591824.1" 1049273 1049986 "+" 714
"420" "lmo1021" "AL591824.1" 1049970 1049975 "+" 6
"421" "lmo1022" "AL591824.1" 1051022 1051027 "+" 6
"422" "lmo1024" "AL591824.1" 1052509 1053429 "+" 921
"423" "lmo1025" "AL591824.1" 1053414 1053419 "+" 6
"424" "lmo1025" "AL591824.1" 1054282 1054324 "+" 43
"425" "lmo1028" "AL591824.1" 1057067 1057276 "-" 210
"426" "lmo1027" "AL591824.1" 1057072 1057077 "-" 6
"427" "lmo1032" "AL591824.1" 1061291 1062115 "+" 825
"428" "lmo1033" "AL591824.1" 1062093 1062098 "+" 6
"429" "lmo1034" "AL591824.1" 1063046 1063051 "+" 6
"430" "lmo1035" "AL591824.1" 1064507 1064512 "+" 6
"431" "lmo1037" "AL591824.1" 1067704 1068526 "-" 823
"432" "lmo1038" "AL591824.1" 1068534 1068582 "-" 49
"433" "lmo1038" "AL591824.1" 1069182 1069187 "-" 6
"434" "lmo1040" "AL591824.1" 1069821 1070492 "-" 672
"435" "lmo1039" "AL591824.1" 1069827 1069832 "-" 6
"436" "lmo1042" "AL591824.1" 1071462 1072685 "+" 1224
"437" "lmo1043" "AL591824.1" 1072651 1072656 "+" 6
"438" "lmo1044" "AL591824.1" 1073133 1073138 "+" 6
"439" "lmo1045" "AL591824.1" 1073540 1073545 "+" 6
"440" "lmo1046" "AL591824.1" 1073813 1074295 "+" 483
"441" "pdhA" "AL591824.1" 1078977 1080092 "+" 1116
"442" "PdhB" "AL591824.1" 1080079 1080084 "+" 6
"443" "pdhC" "AL591824.1" 1081183 1082817 "+" 1635
"444" "PdhD" "AL591824.1" 1082807 1082812 "+" 6
"445" "lmo1057" "AL591824.1" 1084853 1085806 "+" 954
"446" "lmo1058" "AL591824.1" 1085791 1085796 "+" 6
